Country;Month;Year;Purpose;Visitors
USA;10;2017;Holiday;14416
USA;10;2017;Visiting friends & relatives;3184
USA;10;2017;Business;2368
USA;10;2017;Education;160
USA;10;2017;Conferences & conventions;544
USA;10;2016;Holiday;14016
USA;10;2016;Visiting friends & relatives;2960
USA;10;2016;Business;2032
USA;10;2016;Education;176
USA;10;2016;Conferences & conventions;608
USA;10;2015;Holiday;9936
USA;10;2015;Visiting friends & relatives;2640
USA;10;2015;Business;1696
USA;10;2015;Education;224
USA;10;2015;Conferences & conventions;416
USA;10;2014;Holiday;9904
USA;10;2014;Visiting friends & relatives;2272
USA;10;2014;Business;1744
USA;10;2014;Education;128
USA;10;2014;Conferences & conventions;320
USA;10;2013;Holiday;7920
USA;10;2013;Visiting friends & relatives;2080
USA;10;2013;Business;2048
USA;10;2013;Education;144
USA;10;2013;Conferences & conventions;304
USA;9;2017;Holiday;7840
USA;9;2017;Visiting friends & relatives;2096
USA;9;2017;Business;1600
USA;9;2017;Education;512
USA;9;2017;Conferences & conventions;368
USA;9;2016;Holiday;9456
USA;9;2016;Visiting friends & relatives;2944
USA;9;2016;Business;1200
USA;9;2016;Education;368
USA;9;2016;Conferences & conventions;288
USA;9;2015;Holiday;6688
USA;9;2015;Visiting friends & relatives;1984
USA;9;2015;Business;1616
USA;9;2015;Education;208
USA;9;2015;Conferences & conventions;304
USA;9;2014;Holiday;5296
USA;9;2014;Visiting friends & relatives;2224
USA;9;2014;Business;1568
USA;9;2014;Education;336
USA;9;2014;Conferences & conventions;208
USA;9;2013;Holiday;4688
USA;9;2013;Visiting friends & relatives;2000
USA;9;2013;Business;1488
USA;9;2013;Education;224
USA;9;2013;Conferences & conventions;352
USA;8;2017;Holiday;6192
USA;8;2017;Visiting friends & relatives;3056
USA;8;2017;Business;1952
USA;8;2017;Education;160
USA;8;2017;Conferences & conventions;416
USA;8;2016;Holiday;8032
USA;8;2016;Visiting friends & relatives;3376
USA;8;2016;Business;1616
USA;8;2016;Education;240
USA;8;2016;Conferences & conventions;368
USA;8;2015;Holiday;4656
USA;8;2015;Visiting friends & relatives;2800
USA;8;2015;Business;1632
USA;8;2015;Education;128
USA;8;2015;Conferences & conventions;432
USA;8;2014;Holiday;3840
USA;8;2014;Visiting friends & relatives;2656
USA;8;2014;Business;1760
USA;8;2014;Education;192
USA;8;2014;Conferences & conventions;400
USA;8;2013;Holiday;4128
USA;8;2013;Visiting friends & relatives;2496
USA;8;2013;Business;1296
USA;8;2013;Education;176
USA;8;2013;Conferences & conventions;176
USA;7;2017;Holiday;8080
USA;7;2017;Visiting friends & relatives;3488
USA;7;2017;Business;1232
USA;7;2017;Education;912
USA;7;2017;Conferences & conventions;368
USA;7;2016;Holiday;8624
USA;7;2016;Visiting friends & relatives;4144
USA;7;2016;Business;1504
USA;7;2016;Education;1440
USA;7;2016;Conferences & conventions;256
USA;7;2015;Holiday;5408
USA;7;2015;Visiting friends & relatives;3232
USA;7;2015;Business;1504
USA;7;2015;Education;1184
USA;7;2015;Conferences & conventions;368
USA;7;2014;Holiday;4528
USA;7;2014;Visiting friends & relatives;2832
USA;7;2014;Business;992
USA;7;2014;Education;1168
